NQUEST;Srvyr;DURACAO;Upload;Status;DINI;DFIM;VERSAO;PF1;IDADE1;SEXO;P1;P2;P3;P4;P5;P6;P7;P8;PEA;PARTIDO;ESCOLA;RENDAF;PONTO;PESQ
5875320;tab18;0:02:51;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;58;2;2;5;,5;1;1;4;2;2;6;96;6;3;292;13047
5875323;tab40;0:52:23;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;65;2;4;3;7;1;2;1;1;2;11;96;2;1;1970;13663
5875327;tab39;0:04:36;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;34;1;2;4;4;1;2;2;2;2;7;2;4;1;2822;13204
5875330;tab15;0:04:10;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;64;1;4;99;99;2;99;4;99;99;2;96;1;99;3283;13369
5875353;tab04;0:04:23;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;36;2;4;99;9;99;2;4;2;2;1;96;2;1;3401;13266
5875354;tab32;0:05:20;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;22;2;4;5;6;2;2;4;2;2;2;96;2;99;825;10348
5875356;tab12;0:33:31;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;29;2;2;5;,5;1;2;4;2;2;1;14;5;1;2496;4352
5875360;tab21;0:07:00;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;36;1;1;5;,5;1;2;2;2;2;7;2;3;3;3639;11759
5875362;tab03;0:03:59;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;60;1;2;3;5;1;2;1;2;99;12;4;5;1;1748;10231
5875363;tab11;0:03:37;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;31;2;3;5;6;1;2;4;2;2;1;96;4;3;1506;13221
5875365;tab20;0:31:17;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;39;1;4;5;,5;1;2;4;1;1;7;2;1;1;1809;12585
5875371;tab29;0:04:47;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;59;1;4;2;8;2;2;2;2;2;1;96;1;1;380;11150
5875372;tab36;0:04:19;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;61;2;2;5;,5;1;2;4;1;1;4;96;5;1;708;13248
5875426;tab02;0:04:56;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;23;1;2;5;4;1;2;4;1;2;1;96;4;2;2091;13467
5875433;tab24;0:03:26;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;82;2;1;5;,5;1;2;1;2;1;2;96;1;1;2263;13334
5875437;tab31;0:04:46;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;23;1;4;99;99;99;99;4;99;99;2;2;2;3;53;13518
5875443;tab35;0:05:56;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;20;2;2;3;6;1;1;2;2;1;1;2;6;1;802;5621
5875466;tab15;0:04:29;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;71;2;3;4;5;1;1;2;1;99;12;96;1;1;3283;13369
5875469;tab14;0:05:12;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;29;1;2;5;4;1;2;4;2;2;7;2;2;1;183;6248
5875476;tab32;0:03:51;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;40;2;1;2;8;1;2;1;2;1;1;96;8;6;825;10348
5875484;tab09;0:04:54;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;37;1;1;4;3;1;2;1;2;1;1;96;5;2;3844;12583
5875498;tab37;0:03:26;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;33;2;2;2;7;1;2;3;2;2;3;2;8;4;3547;11628
